"category"	"name"	"url"	"description"	"star"	"stackOverflow"	"stackOverflowUrl"	"license"	"licenseUrl"	"site"	"userGuide"	"newStars"	"newWatchs"	"newForks"	"pageText"	"newStackOverflow"	"github"	"allText"	"isExist"
"CSV"	"uniVocity-parsers"	"https://github.com/uniVocity/univocity-parsers"	"One of the fastest and most feature-complete CSV. Also comes with parsers for TSV and fixed width records."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/uniVocity/univocity-parsers"	"One of the fastest and most feature-complete CSV. Also comes with parsers for TSV and fixed width records."	"true"
"Database"	"Apache Hive"	"https://hive.apache.org/"	"Data warehouse infrastructure built on top of Hadoop."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Data warehouse infrastructure built on top of Hadoop."	"true"
"Database"	"Apache Phoenix"	"http://phoenix.apache.org/"	"High performance relational database layer over HBase for low latency applications."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"High performance relational database layer over HBase for low latency applications."	"true"
"Database"	"eXist"	"https://github.com/eXist-db/exist"	"A NoSQL document database and application platform."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/eXist-db/exist"	"A NoSQL document database and application platform."	"true"
"Database"	"FlexyPool"	"https://github.com/vladmihalcea/flexy-pool"	"Brings metrics and failover strategies to the most common connection pooling solutions."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/vladmihalcea/flexy-pool"	"Brings metrics and failover strategies to the most common connection pooling solutions."	"true"
"Database"	"Flyway"	"https://flywaydb.org/"	"Simple database migration tool."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	""	"null"	"null"	"Simple database migration tool."	"false"
"Database"	"H2"	"http://h2database.com/"	"Small SQL Database notable for its in-memory functionality."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Small SQL Database notable for its in-memory functionality."	"true"
"Database"	"HikariCP"	"https://github.com/brettwooldridge/HikariCP"	"High performance JDBC connection pool."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/brettwooldridge/HikariCP"	"High performance JDBC connection pool."	"true"
"Database"	"JDBI"	"http://jdbi.org/"	"Convenient abstraction of JDBC."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Convenient abstraction of JDBC."	"true"
"Database"	"Jedis"	"https://github.com/xetorthio/jedis"	"A small client for interaction with redis, with methods for commands."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/xetorthio/jedis"	"A small client for interaction with redis, with methods for commands."	"true"
"Database"	"jOOQ"	"http://www.jooq.org/"	"Generates typesafe code based on SQL schema."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Generates typesafe code based on SQL schema."	"true"
"Database"	"Liquibase"	"http://www.liquibase.org/"	"Database-independent library for tracking, managing and applying database schema changes."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Database-independent library for tracking, managing and applying database schema changes."	"true"
"Database"	"MapDB"	"http://www.mapdb.org/"	"Embedded database engine that provides concurrent collections backed on disk or in off-heap memory."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Embedded database engine that provides concurrent collections backed on disk or in off-heap memory."	"true"
"Database"	"Presto"	"https://github.com/prestodb/presto"	"Distributed SQL query engine for big data."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/prestodb/presto"	"Distributed SQL query engine for big data."	"true"
"Database"	"Querydsl"	"http://www.querydsl.com/"	"Typesafe unified queries."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Typesafe unified queries."	"true"
"Database"	"Realm"	"https://github.com/realm/realm-java"	"Mobile database to run directly inside phones, tablets or wearables."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/realm/realm-java"	"Mobile database to run directly inside phones, tablets or wearables."	"true"
